2025-10-24T22:10:50.987614400 - Applied SAVE50 | Discount: 50.0
2025-10-25T08:13:20.041676700 - Applied WELCOME10 | Discount: 200.0
2025-10-25T11:22:31.739818700 - Applied WELCOME10 | Discount: 200.0
2025-10-25T11:58:39.747022200 - Applied SAVE50 | Discount: 50.0
2025-10-25T12:13:58.835485200 - Applied WELCOME10 | Discount: 20.0
2025-10-25T12:13:59.892778200 - Applied SAVE50 | Discount: 50.0
2025-10-25T12:17:01.580913900 - Applied WELCOME10 | Discount: 20.0
2025-10-25T12:17:02.483219600 - Applied SAVE50 | Discount: 50.0
2025-10-25T12:25:09.473827 - Applied WELCOME10 | Discount: 20.0
2025-10-25T12:25:10.591059 - Applied SAVE50 | Discount: 50.0
2025-10-25T12:30:34.201830800 - Applied WELCOME10 | Discount: 20.0
2025-10-25T13:38:53.592684400 - Applied SAVE50 | Discount: 50.0
2025-10-25T14:34:57.601598 - Applied SAVE50 | Discount: 50.0
2025-10-25T15:35:16.190572200 - Applied WELCOME10 | Discount: 200.0
